Access to Small Arms,Armed Services Personnel Rate,Deaths from External Conflict,Deaths from Internal Conflict,External Conflicts Fought,External Peace,GU_A3,Homicide Rate,Incarceration Rate,Intensity of Internal Conflict,Internal Conflicts Fought,Internal Peace,Militarisation,Military Expenditure (%GDP),Neighbouring Countries Relations,Nuclear and Heavy Weapons,Ongoing Conflict,Overall Score,Perceptions of Criminality,Police Rate,Political Instability,Political Terror Scale,Rank,Refugees and IDPs,SUBREGION,Safety & Security,Score,Terrorism Impact,UN Peacekeeping Funding,Violent Crime,Violent Demonstrations,Weapons Exports,Weapons Imports,Year
5.0,1.284,1.4580000000000002,4.768,1.0,2.477,AFG,2.525,1.2770000000000001,5.0,4.053,3.76,2.215,1.745,4.0,1.038,3.574,3.247,5.0,2.5,4.25,5.0,159.0,4.975,Southern Asia,3.6010000000000004,3.247,4.045,4.2,3.0,3.0,1.0,1.044,2008
5.0,1.288,1.0,5.0,1.0,2.3569999999999998,AFG,2.525,1.237,5.0,4.053,4.019,2.226,1.75,4.0,1.038,3.529,3.355,5.0,2.5,4.25,5.0,159.0,4.699,Southern Asia,3.892,3.355,4.115,4.2,5.0,4.0,1.0,1.123,2009
5.0,1.496,1.0,5.0,1.0,2.023,AFG,2.525,1.348,5.0,3.968,3.99,2.267,1.722,3.0,1.038,3.319,3.2030000000000003,5.0,2.5,3.75,5.0,158.0,3.492,Southern Asia,3.705,3.2030000000000003,4.187,4.2,5.0,4.0,1.0,1.298,2010
5.0,1.696,1.0,5.0,1.0,1.976,AFG,2.38,1.443,5.0,3.968,4.023,2.19,1.855,3.0,1.065,3.319,3.2039999999999997,5.0,2.5,3.75,5.0,159.0,3.5780000000000003,Southern Asia,3.752,3.2039999999999997,4.205,3.0,5.0,4.5,1.0,1.463,2011
5.0,1.847,1.0,5.0,1.0,2.2030000000000003,AFG,2.568,1.49,5.0,4.3260000000000005,4.087,2.323,1.865,3.0,1.065,3.3560000000000003,3.333,5.0,3.5,4.0,4.5,161.0,4.768,Southern Asia,3.9360000000000004,3.333,4.25,3.659,5.0,4.0,1.0,1.774,2012
5.0,1.915,1.0,4.029,1.0,2.218,AFG,3.138,1.585,5.0,4.832,4.209,2.5469999999999997,5.0,3.0,1.065,3.2119999999999997,3.4130000000000003,5.0,3.5,5.0,5.0,162.0,4.0280000000000005,Southern Asia,4.112,3.4130000000000003,4.446000000000001,2.16,5.0,4.0,1.0,1.9809999999999999,2013
5.0,1.8630000000000002,1.0,4.085,1.0,2.235,AFG,3.138,1.601,5.0,4.832,4.136,2.496,5.0,3.0,1.061,3.2239999999999998,3.3760000000000003,5.0,3.5,5.0,4.0,161.0,4.372,Southern Asia,4.042,3.3760000000000003,4.538,1.77,5.0,4.0,1.0,1.992,2014
5.0,1.807,1.0,5.0,1.0,2.227,AFG,3.138,1.6569999999999998,5.0,4.832,4.322,2.447,5.0,3.0,1.061,3.408,3.484,5.0,3.5,5.0,5.0,159.0,4.493,Southern Asia,4.185,3.484,4.6530000000000005,1.4680000000000002,5.0,4.0,1.0,1.936,2015
5.0,1.706,1.0,5.0,1.0,2.401,AFG,3.138,1.585,5.0,4.684,4.265,2.395,5.0,4.0,1.061,3.594,3.52,5.0,3.5,5.0,4.5,161.0,4.623,Southern Asia,4.14,3.52,4.736000000000001,1.27,5.0,4.0,1.0,1.7930000000000001,2016
5.0,1.732,1.0,5.0,1.0,2.479,AFG,3.138,1.585,5.0,4.768,4.26,2.418,5.0,4.0,1.082,3.602,3.548,5.0,3.5,5.0,4.5,162.0,4.963,Southern Asia,4.18,3.548,4.734,1.6340000000000001,5.0,4.0,1.0,1.564,2017
5.0,1.7269999999999999,1.0,5.0,1.317,2.526,AFG,3.138,1.5930000000000002,5.0,4.684,4.291,2.465,5.0,4.0,1.082,3.623,3.585,5.0,3.5,5.0,5.0,162.0,4.852,Southern Asia,4.225,3.585,4.698,2.168,5.0,4.0,1.0,1.4369999999999998,2018
4.0,1.5590000000000002,1.0,1.0,2.679,1.466,ALB,2.373,1.8780000000000001,1.0,1.0,2.2640000000000002,1.754,1.736,2.0,1.002,1.355,1.945,4.0,2.611,2.75,3.0,68.0,1.167,Southern Europe,2.519,1.945,1.004,1.545,3.0,3.0,1.0,1.063,2008
4.0,1.7180000000000002,1.0,1.0,3.325,1.5390000000000001,ALB,2.283,2.258,1.0,1.0,2.238,1.788,1.874,2.0,1.002,1.415,1.9580000000000002,4.0,2.615,2.75,2.5,70.0,1.165,Southern Europe,2.483,1.9580000000000002,1.0,1.545,3.0,3.0,1.0,1.054,2009
4.0,1.724,1.0,1.0,3.971,1.5930000000000002,ALB,2.225,2.258,1.0,1.0,2.217,1.7919999999999998,1.9080000000000001,2.0,1.002,1.474,1.9669999999999999,4.0,2.575,3.0,2.0,66.0,1.157,Southern Europe,2.4530000000000003,1.9669999999999999,1.183,1.545,3.0,3.0,1.0,1.055,2010
4.0,1.7269999999999999,1.0,1.0,3.583,1.6369999999999998,ALB,2.595,2.258,1.0,1.0,2.249,1.912,1.97,2.0,1.002,1.4380000000000002,2.004,4.0,2.6660000000000004,3.0,2.0,69.0,1.163,Southern Europe,2.5,2.004,1.092,2.531,3.0,3.0,1.0,1.023,2011
4.0,1.729,1.0,1.0,3.196,1.578,ALB,2.73,2.1630000000000003,1.0,1.0,2.3480000000000003,1.869,1.516,2.0,1.002,1.403,2.04,4.0,2.685,3.375,2.0,73.0,1.153,Southern Europe,2.637,2.04,1.046,2.614,3.0,4.0,1.0,1.023,2012
4.0,1.729,1.042,1.0,2.679,1.56,ALB,2.863,2.171,1.0,1.0,2.35,1.905,1.8840000000000001,2.0,1.002,1.364,2.0340000000000003,4.0,2.6889999999999996,3.25,2.0,74.0,1.139,Southern Europe,2.636,2.0340000000000003,1.023,2.503,3.0,4.0,1.0,1.07,2013
4.0,1.729,1.042,1.0,2.1630000000000003,1.464,ALB,2.575,2.25,1.0,1.0,2.3,1.8230000000000002,1.65,2.0,1.002,1.3159999999999998,1.965,4.0,2.6430000000000002,3.25,2.0,68.0,1.1159999999999999,Southern Europe,2.5610000000000004,1.965,1.072,2.011,3.0,3.5,1.0,1.104,2014
4.0,1.416,1.0,1.0,1.646,1.43,ALB,2.513,2.5269999999999997,1.0,1.0,2.265,1.8519999999999999,1.569,2.0,1.002,1.261,1.931,4.0,2.665,2.75,2.0,63.0,1.115,Southern Europe,2.511,1.931,1.635,2.6210000000000004,3.0,3.0,1.0,1.137,2015
4.0,1.416,1.0,1.0,1.646,1.374,ALB,2.07,2.495,1.0,1.0,2.21,1.764,1.569,2.0,1.002,1.261,1.875,4.0,2.682,2.625,2.0,55.0,1.114,Southern Europe,2.431,1.875,1.4369999999999998,1.838,3.0,3.0,1.0,1.17,2016
4.0,1.415,1.0,1.0,1.517,1.358,ALB,2.07,2.677,1.0,1.0,2.259,1.7530000000000001,1.459,2.0,1.001,1.249,1.8980000000000001,4.0,2.682,2.5,2.5,59.0,1.121,Southern Europe,2.501,1.8980000000000001,1.588,1.8530000000000002,3.0,3.0,1.0,1.17,2017
4.0,1.4140000000000001,1.0,1.0,1.3880000000000001,1.334,ALB,2.07,2.479,1.0,1.0,2.193,1.7209999999999999,1.401,2.0,1.001,1.237,1.849,4.0,2.682,2.375,2.0,52.0,1.129,Southern Europe,2.4130000000000003,1.849,1.6369999999999998,1.71,3.0,3.0,1.0,1.099,2018
3.0,1.641,1.0,2.516,1.0,1.7180000000000002,DZA,1.395,2.005,3.0,2.6210000000000004,2.805,2.028,2.309,3.0,1.712,2.2769999999999997,2.37,4.0,2.74,2.75,4.0,130.0,1.01,Northern Africa,2.675,2.37,3.5439999999999996,3.1189999999999998,3.0,3.0,1.0,1.599,2008
3.0,1.63,1.0,2.6510000000000002,1.0,1.735,DZA,1.47,2.25,3.0,2.326,2.7710000000000004,2.1180000000000003,2.553,3.0,1.712,2.274,2.3569999999999998,4.0,2.8689999999999998,2.625,3.5,125.0,1.0090000000000001,Northern Africa,2.5980000000000003,2.3569999999999998,3.537,3.1189999999999998,3.0,2.5,1.0,2.136,2009
3.0,1.619,1.0,2.505,1.0,1.726,DZA,1.39,2.25,3.0,2.032,2.799,2.142,2.448,3.0,1.712,2.214,2.37,4.0,3.0639999999999996,3.25,3.0,127.0,1.0090000000000001,Northern Africa,2.662,2.37,3.484,3.1189999999999998,3.0,3.0,1.0,2.454,2010
3.0,1.607,1.0,2.539,1.0,1.882,DZA,1.35,2.25,3.0,2.032,2.9219999999999997,2.136,2.806,4.0,1.8119999999999998,2.423,2.506,4.0,3.105,4.0,2.5,137.0,1.008,Northern Africa,2.8160000000000003,2.506,3.3680000000000003,2.326,3.0,4.5,1.0,2.698,2011
3.0,1.526,1.0,1.0,1.0,1.818,DZA,1.38,2.234,3.0,2.032,2.7119999999999997,2.142,2.715,3.0,1.8119999999999998,1.912,2.354,4.0,3.113,3.25,3.0,125.0,1.9140000000000001,Northern Africa,2.8369999999999997,2.354,3.127,2.276,3.0,4.0,1.0,2.975,2012
3.0,1.516,1.0,1.0,1.0,1.8119999999999998,DZA,1.7,2.234,3.0,1.8840000000000001,2.677,2.142,3.1689999999999996,3.0,1.8119999999999998,1.896,2.331,4.0,3.284,3.25,3.0,124.0,1.913,Northern Africa,2.7960000000000003,2.331,3.0239999999999996,1.755,3.0,3.0,1.0,3.053,2013
3.0,1.505,1.0,2.048,1.0,1.787,DZA,1.63,2.282,3.0,2.032,2.642,2.053,3.26,3.0,1.8880000000000001,2.122,2.3,4.0,3.193,3.25,2.0,120.0,1.868,Northern Africa,2.6060000000000003,2.3,3.089,1.3019999999999998,2.5,3.0,1.0,2.5540000000000003,2014
3.0,1.496,1.0,2.1830000000000003,1.0,1.7819999999999998,DZA,1.74,2.282,3.0,2.326,2.592,2.056,3.5180000000000002,3.0,1.8880000000000001,2.18,2.2680000000000002,4.0,3.103,3.0,2.0,121.0,1.682,Northern Africa,2.4859999999999998,2.2680000000000002,2.8480000000000003,1.3419999999999999,2.0,3.0,1.0,2.29,2015
3.0,1.4869999999999999,1.0,1.0,1.0,1.706,DZA,1.685,2.282,3.0,2.1790000000000003,2.537,2.09,3.958,3.0,1.8880000000000001,1.9269999999999998,2.205,4.0,3.1830000000000003,3.0,3.0,108.0,1.003,Northern Africa,2.516,2.205,2.696,1.205,2.0,3.0,1.0,2.282,2016
3.0,1.4780000000000002,1.0,1.0,1.0,1.695,DZA,1.685,2.234,3.0,2.032,2.504,2.142,4.001,3.0,1.805,1.912,2.18,4.0,3.1830000000000003,3.0,2.5,105.0,1.003,Northern Africa,2.445,2.18,2.57,1.137,2.0,3.0,1.0,2.88,2017
